	0	0	ASX	0	0	0	0	0	3	1356942642	0	0	0
	0	0	ASX	0	0	0	0	0	0	0	0	0	0
	0	0	ASX	0	0	0	0	0	4	1356901189	0	0	0
BHPISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
BHPXOV	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
NCMXOG	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
AAD	0	0	ASX	0	0	0	0	0	10	1356901192	0	8	0
AAT	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
AAZPB	0	0	ASX	0	0	0	0	0	10	1356901192	0	8	0
ABF	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ABN	0	0	ASX	0	0	0	0	0	10	1356901192	0	8	0
ABP	0	0	ASX	0	0	0	0	0	10	1356901192	0	8	0
ALZSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
AMCKRA	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
AMPISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ANZISB	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ANZISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ANZISV	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ASXKRT	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ASXSZA	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
BXBISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
C25SZ1	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
C25SZ3	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
C25SZ4	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
C25SZ5	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CBAISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CBALOT	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CCK	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CCLISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CFXSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CHCSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CPASSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
CSLISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
DXSSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
FXHKRP	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
GPTSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
IOFSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
MGRSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
MNDKCP	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
MQGISV	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
MQGXOT	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
NABISB	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
NABISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
NABISV	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
NABXOW	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
NWSISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ORGISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
QBEISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
QBEISV	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
RIOISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
RIOXOV	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
RMTN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
RMTO	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ROB	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
ROBO	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
RSNCL	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SGPSSU	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SLFSZB	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SP5IRC	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SP5SZ1	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SP5SZ5	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SPFQRX	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
STOISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
STWSZ3	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
STWSZ4	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SUNISN	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
SYDSZB	0	0	ASX	0	0	0	0	0	140	1356901192	0	8	0
